Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
CHEM-BS	2.938	ACCT-BS	2.95
CS-BS	3.406	ACCT-BS	3.109
BIOL-BS	0.0	ACCT-BS	2.909
BIOL-BS	3.75	ACCT-BS	3.7689999999999997
BIOL-BS	4.0	ACCT-BS	3.409
CS-BS	0.0	ACCT-BS	2.909
BIOL-BS	3.0	ART-BA	3.0
BIOL-BS	2.588	ATHT-BS	2.244
BIOL-BS	0.0	ATHT-BS	1.556
BIOL-BS	0.0	ATHT-BS	2.875
BIOL-BS	2.319	BA-BBA	2.283
IT-BS	2.273	BA-BBA	2.273
CHEM-BS	3.1839999999999997	BA-BBA	3.227
CS-BS	3.1	BA-BBA	2.727
BIOL-BS	2.333	BA-BBA	2.61
CS-BS	3.5	BA-BBA	3.238
CS-BS	0.0	BA-BBA	2.929
MATH-BS	3.2439999999999998	BIOL-BS	3.299
CHEM-BS	2.862	BIOL-BS	2.737
CHEM-BS	3.8569999999999998	BIOL-BS	3.529
CS-BS	3.6	BIOL-BS	3.654
CS-BS	3.909	BIOL-BS	3.9360000000000004
CHEM-BS	0.0	BIOL-BS	1.6669999999999998
CHEM-BS	0.0	BIOL-BS	2.25
CS-BS	0.0	CHEM-BS	2.714
BIOL-BS	3.0810000000000004	CJ-BA	3.029
BIOL-BS	3.0	CJ-BA	3.056
CS-BS	0.0	CJ-BA	2.0
BIOL-BS	0.0	CJ-BA	1.6669999999999998
CHEM-BS	0.0	CJ-BA	1.357
CHEM-BS	0.0	CJ-BA	3.8
CHEM-BS	0.0	COMM-BA	0.222
BIOL-BS	3.755	COMM-BA	3.582
BIOL-BS	2.833	COMM-BA	2.289
CS-BS	2.9410000000000003	COMM-BA	2.333
PHYS-BS	4.0	CS-BS	3.898
MATH-BS	3.593	CS-BS	3.597
PHYS-BS	0.0	CS-BS	3.765
CHEM-BS	3.185	CSD-BS	3.262
BIOL-BS	2.2	CSD-BS	2.2
BIOL-BS	2.342	ECED-BS	1.78
BIOL-BS	2.889	ELED-BS	2.595
BIOL-BS	2.259	ELED-BS	1.9509999999999998
BIOL-BS	2.574	ENGL-BA	2.661
CS-BS	2.2569999999999997	ENGL-BA	2.073
IT-BS	2.175	ENTC-BS	2.0580000000000003
IT-BS	0.0	ENTC-BS	3.5
BIOL-BS	3.0	ENTC-BS	2.0
CS-BS	0.0	ENTC-BS	0.636
CS-BS	0.0	ENTC-BS	3.182
BIOL-BS	3.389	FCS-BS	3.463
BIOL-BS	3.515	FCS-BS	3.37
BIOL-BS	3.0	FCS-BS	3.214
PHYS-BS	0.0	FIN-BS	3.167
BIOL-BS	3.319	GENS-BGS	3.3110000000000004
BIOL-BS	1.805	GENS-BGS	1.7690000000000001
CHEM-BS	3.17	GENS-BGS	3.208
BIOL-BS	2.862	GENS-BGS	2.8810000000000002
CHEM-BS	0.0	GENS-BGS	3.182
BIOL-BS	1.2919999999999998	GENS-BGS	1.568
PHYS-BS	2.455	GENS-BGS	2.0869999999999997
BIOL-BS	0.0	GENS-BGS	2.909
BIOL-BS	1.9469999999999998	HIST-BA	2.38
BIOL-BS	3.273	HIST-BA	3.0669999999999997
CS-BS	0.0	HIST-BA	3.455
MATH-BS	3.262	HPE-BS	3.158
BIOL-BS	2.167	HSM-BS	1.4
IT-BS	2.432	IT-AAS	2.426
BIOL-BS	3.1189999999999998	IT-BS	2.963
BIOL-BS	2.4290000000000003	IT-BS	2.2119999999999997
CS-BS	3.0	IT-BS	2.0
CS-BS	2.544	ITEC-BS	2.469
CS-BS	2.244	ITEC-BS	2.245
CS-BS	2.495	ITEC-BS	2.37
CS-BS	3.14	ITEC-BS	2.965
CS-BS	3.071	ITEC-BS	2.667
CS-BS	2.571	ITEC-BS	2.7
CS-BS	2.455	ITEC-BS	2.609
CS-BS	2.719	ITEC-BS	2.9789999999999996
CS-BS	0.0	ITEC-BS	0.909
CS-BS	2.5	ITEC-BS	1.87
CS-BS	2.267	ITEC-BS	2.1109999999999998
CS-BS	1.5	ITEC-BS	1.3
CS-BS	2.957	ITEC-BS	2.8
CS-BS	0.0	ITEC-BS	1.75
BIOL-BS	3.9339999999999997	KIN-BS	3.948
BIOL-BS	3.5	KIN-BS	3.327
BIOL-BS	3.033	KIN-BS	2.818
BIOL-BS	3.0869999999999997	MATH-BS	3.0780000000000003
BIOL-BS	0.0	MATH-BS	2.867
CS-BS	2.025	MGMT-BA	1.979
CS-BS	2.0	MGMT-BA	2.522
BIOL-BS	0.0	MGMT-BA	1.818
MATH-BS	2.767	MSED-BS	2.886
BIOL-BS	3.0989999999999998	NURS-BSN	3.123
BIOL-BS	2.6860000000000004	NURS-BSN	2.7739999999999996
CHEM-BS	3.647	NURS-BSN	3.565
BIOL-BS	0.0	NURS-BSN	3.6
IT-BS	2.0	NURS-BSN	2.278
BIOL-BS	0.0	NURS-BSN	2.867
BIOL-BS	0.0	NURS-BSN	2.0909999999999997
BIOL-BS	0.0	NURS-BSN	4.0
BIOL-BS	0.0	NURS-BSN	2.636
BIOL-BS	0.0	NURS-BSN	2.364
BIOL-BS	3.844	NURS-BSN	3.75
BIOL-BS	2.967	NURS-BSN	2.8139999999999996
BIOL-BS	3.0	NURS-BSN	1.375
BIOL-BS	3.889	NURS-BSN	3.925
BIOL-BS	0.0	NURS-BSN	1.818
