Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
CHEM-BS	2.938	Others	2.95
CS-BS	3.406	Others	3.109
BIOL-BS	0.0	Others	2.909
BIOL-BS	3.75	Others	3.769
BIOL-BS	4.0	Others	3.409
CS-BS	0.0	Others	2.909
BIOL-BS	3.0	Others	3.0
BIOL-BS	2.588	Others	2.244
BIOL-BS	0.0	Others	1.556
BIOL-BS	0.0	Others	2.875
BIOL-BS	2.319	Others	2.283
IT-BS	2.273	Others	2.273
CHEM-BS	3.184	Others	3.227
CS-BS	3.1	Others	2.727
BIOL-BS	2.333	Others	2.61
CS-BS	3.5	Others	3.238
CS-BS	0.0	Others	2.929
MATH-BS	3.244	BIOL-BS	3.299
CHEM-BS	2.862	BIOL-BS	2.737
CHEM-BS	3.857	BIOL-BS	3.529
CS-BS	3.6	BIOL-BS	3.654
CS-BS	3.909	BIOL-BS	3.936
CHEM-BS	0.0	BIOL-BS	1.667
CHEM-BS	0.0	BIOL-BS	2.25
CS-BS	0.0	CHEM-BS	2.714
BIOL-BS	3.081	Others	3.029
BIOL-BS	3.0	Others	3.056
CS-BS	0.0	Others	2.0
BIOL-BS	0.0	Others	1.667
CHEM-BS	0.0	Others	1.357
CHEM-BS	0.0	Others	3.8
CHEM-BS	0.0	Others	0.222
BIOL-BS	3.755	Others	3.582
BIOL-BS	2.833	Others	2.289
CS-BS	2.941	Others	2.333
PHYS-BS	4.0	CS-BS	3.898
MATH-BS	3.593	CS-BS	3.597
PHYS-BS	0.0	CS-BS	3.765
CHEM-BS	3.185	Others	3.262
BIOL-BS	2.2	Others	2.2
BIOL-BS	2.342	Others	1.78
BIOL-BS	2.889	Others	2.595
BIOL-BS	2.259	Others	1.951
BIOL-BS	2.574	Others	2.661
CS-BS	2.257	Others	2.073
IT-BS	2.175	Others	2.058
IT-BS	0.0	Others	3.5
BIOL-BS	3.0	Others	2.0
CS-BS	0.0	Others	0.636
CS-BS	0.0	Others	3.182
BIOL-BS	3.389	Others	3.463
BIOL-BS	3.515	Others	3.37
BIOL-BS	3.0	Others	3.214
PHYS-BS	0.0	Others	3.167
BIOL-BS	3.319	Others	3.311
BIOL-BS	1.805	Others	1.769
CHEM-BS	3.17	Others	3.208
BIOL-BS	2.862	Others	2.881
CHEM-BS	0.0	Others	3.182
BIOL-BS	1.292	Others	1.568
PHYS-BS	2.455	Others	2.087
BIOL-BS	0.0	Others	2.909
BIOL-BS	1.947	Others	2.38
BIOL-BS	3.273	Others	3.067
CS-BS	0.0	Others	3.455
MATH-BS	3.262	Others	3.158
BIOL-BS	2.167	Others	1.4
IT-BS	2.432	Others	2.426
BIOL-BS	3.119	IT-BS	2.963
BIOL-BS	2.429	IT-BS	2.212
CS-BS	3.0	IT-BS	2.0
CS-BS	2.544	Others	2.469
CS-BS	2.244	Others	2.245
CS-BS	2.495	Others	2.37
CS-BS	3.14	Others	2.965
CS-BS	3.071	Others	2.667
CS-BS	2.571	Others	2.7
CS-BS	2.455	Others	2.609
CS-BS	2.719	Others	2.979
CS-BS	0.0	Others	0.909
CS-BS	2.5	Others	1.87
CS-BS	2.267	Others	2.111
CS-BS	1.5	Others	1.3
CS-BS	2.957	Others	2.8
CS-BS	0.0	Others	1.75
BIOL-BS	3.934	Others	3.948
BIOL-BS	3.5	Others	3.327
BIOL-BS	3.033	Others	2.818
BIOL-BS	3.087	MATH-BS	3.078
BIOL-BS	0.0	MATH-BS	2.867
CS-BS	2.025	Others	1.979
CS-BS	2.0	Others	2.522
BIOL-BS	0.0	Others	1.818
MATH-BS	2.767	Others	2.886
BIOL-BS	3.099	Others	3.123
BIOL-BS	2.686	Others	2.774
CHEM-BS	3.647	Others	3.565
BIOL-BS	0.0	Others	3.6
IT-BS	2.0	Others	2.278
BIOL-BS	0.0	Others	2.867
BIOL-BS	0.0	Others	2.091
BIOL-BS	0.0	Others	4.0
BIOL-BS	0.0	Others	2.636
BIOL-BS	0.0	Others	2.364
BIOL-BS	3.844	Others	3.75
BIOL-BS	2.967	Others	2.814
BIOL-BS	3.0	Others	1.375
BIOL-BS	3.889	Others	3.925
BIOL-BS	0.0	Others	1.818
BIOL-BS	0.0	Others	3.385
BIOL-BS	0.0	Others	2.667
BIOL-BS	0.0	Others	2.364
BIOL-BS	0.0	Others	2.0
BIOL-BS	0.0	Others	2.583
BIOL-BS	0.0	Others	2.455
BIOL-BS	2.0	Others	2.929
BIOL-BS	0.0	Others	2.182
BIOL-BS	3.061	Others	2.766
CS-BS	2.737	Others	2.5
IT-BS	2.5	Others	2.95
CHEM-BS	2.333	Others	2.211
CS-BS	0.0	PHYS-BS	1.929
BIOL-BS	0.0	Others	3.083
BIOL-BS	2.186	Others	2.087
BIOL-BS	2.406	Others	2.431
BIOL-BS	0.0	Others	3.4
CS-BS	2.0	Others	1.818
BIOL-BS	2.918	Others	2.587
BIOL-BS	4.0	Others	1.706
BIOL-BS	0.0	Others	0.636
BIOL-BS	0.0	Others	3.222
CHEM-BS	3.251	Others	2.964
CHEM-BS	3.182	Others	3.273
CS-BS	3.333	Others	2.957
CS-BS	2.8	Others	2.658
CHEM-BS	2.19	Others	1.926
BIOL-BS	3.6	Others	3.261
BIOL-BS	4.0	Others	4.0
MATH-BS	0.0	Others	2.091
MATH-BS	1.947	Others	1.721
BIOL-BS	0.0	Others	3.0
MATH-BS	3.214	Others	3.0
BIOL-BS	3.429	Others	3.029
BIOL-BS	3.273	Others	2.833
BIOL-BS	0.0	Others	0.909
BIOL-BS	0.0	Others	2.182
